command	c_handler	c_min_position	c_min_level	c_subcmd	status	go_evidence
spike	do_spike	POS_STANDING	0	SCMD_SPIKE	registered	pkg/session/commands.go:registerCommand("spike", ...)
spit	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
split	do_split	POS_SITTING	1	0	registered	pkg/session/commands.go:registerCommand("split", ...)
squeeze	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
stable	do_not_here	POS_RESTING	0	0	implemented-unwired	pkg/session/cmd_misc.go:cmdnothere
stake	do_spike	POS_STANDING	0	SCMD_STAKE	registered	pkg/session/commands.go:registerCommand("stake", ...)
stand	do_stand	POS_RESTING	0	0	registered	pkg/session/commands.go:registerCommand("stand", ...)
stare	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
startle	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
stat	do_stat	POS_DEAD	LVL_IMMORT	0	registered	pkg/session/commands.go:registerCommand("stat", ...)
steal	do_steal	POS_STANDING	1	0	registered	pkg/session/commands.go:registerCommand("steal", ...)
stealth	do_stealth	POS_STANDING	1	0	registered	pkg/session/commands.go:registerCommand("stealth", ...)
steam	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
stimpy	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
stretch	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
strike	do_strike	POS_FIGHTING	1	0	registered	pkg/session/commands.go:registerCommand("strike", ...)
string	do_string	POS_RESTING	LVL_IMMORT+1	0	missing	no implementation found
stroke	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
strut	do_action	POS_STANDING	0	0	social	pkg/game/socials.txt
subdue	do_subdue	POS_STANDING	0	0	registered	pkg/session/commands.go:registerCommand("subdue", ...)
sulk	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
sweat	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
switch	do_switch	POS_DEAD	LVL_IMMORT+1	0	registered	pkg/session/commands.go:registerCommand("switch", ...)
sysfile	do_sysfile	POS_DEAD	LVL_GOD	0	registered	pkg/session/commands.go:registerCommand("sysfile", ...)
syslog	do_syslog	POS_DEAD	LVL_IMMORT	0	registered	pkg/session/commands.go:registerCommand("syslog", ...)
tackle	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
tag	do_tag	POS_RESTING	0	0	registered	pkg/session/commands.go:registerCommand("tag", ...)
take	do_get	POS_RESTING	0	0	registered	pkg/session/commands.go:registerCommand("take", ...)
tango	do_action	POS_STANDING	0	0	social	pkg/game/socials.txt
tap	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
taste	do_eat	POS_RESTING	0	SCMD_TASTE	registered	pkg/session/commands.go:registerCommand("taste", ...)
taunt	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
tedit	do_tedit	POS_DEAD	LVL_GRGOD	0	missing	no implementation found
teleport	do_teleport	POS_DEAD	LVL_GOD	0	registered	pkg/session/commands.go:registerCommand("teleport", ...)
tell	do_tell	POS_MORTALLYW	0	0	registered	pkg/session/commands.go:registerCommand("tell", ...)
thank	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
thaw	do_wizutil	POS_DEAD	LVL_FREEZE	SCMD_THAW	registered	pkg/session/commands.go:registerCommand("thaw", ...)
think	do_think	POS_RESTING	0	0	registered	pkg/session/commands.go:registerCommand("think", ...)
thpbt	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
threaten	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
throttle	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
thumbsup	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
thunk	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
tick	do_tick	POS_DEAD	LVL_IMPL-1	0	registered	pkg/session/commands.go:registerCommand("tick", ...)
tickle	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
tiger	do_tiger_punch	POS_FIGHTING	0	0	registered	pkg/session/commands.go:registerCommand("tiger", ...)
tilt	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
time	do_time	POS_DEAD	0	0	registered	pkg/session/commands.go:registerCommand("time", ...)
title	do_title	POS_DEAD	0	0	registered	pkg/session/commands.go:registerCommand("title", ...)
todo	do_gen_write	POS_DEAD	LVL_GOD-1	SCMD_TODO	registered	pkg/session/commands.go:registerCommand("todo", ...)
toggle	do_toggle	POS_DEAD	0	0	registered	pkg/session/commands.go:registerCommand("toggle", ...)
toh	do_kuji_kiri	POS_STANDING	0	SKILL_KK_TOH	registered	pkg/session/commands.go:registerCommand("toh", ...)
track	do_track	POS_STANDING	0	0	missing	no implementation found
transfer	do_trans	POS_SLEEPING	LVL_IMMORT+1	0	missing	no implementation found
transform	do_transform	POS_RESTING	1	0	registered	pkg/session/commands.go:registerCommand("transform", ...)
trip	do_trip	POS_FIGHTING	1	0	registered	pkg/session/commands.go:registerCommand("trip", ...)
tug	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
turn	do_turn	POS_STANDING	0	0	registered	pkg/session/commands.go:registerCommand("turn", ...)
twiddle	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
typo	do_gen_write	POS_DEAD	0	SCMD_TYPO	registered	pkg/session/commands.go:registerCommand("typo", ...)
unaffect	do_wizutil	POS_DEAD	LVL_GOD	SCMD_UNAFFECT	registered	pkg/session/commands.go:registerCommand("unaffect", ...)
unban	do_unban	POS_DEAD	LVL_GRGOD	0	registered	pkg/session/commands.go:registerCommand("unban", ...)
ungroup	do_ungroup	POS_DEAD	0	0	registered	pkg/session/commands.go:registerCommand("ungroup", ...)
unlock	do_gen_door	POS_SITTING	0	SCMD_UNLOCK	registered	pkg/session/commands.go:registerCommand("unlock", ...)
up	do_move	POS_STANDING	0	SCMD_UP	registered	pkg/session/commands.go:registerCommand("up", ...)
uptime	do_date	POS_DEAD	LVL_IMMORT	SCMD_UPTIME	registered	pkg/session/commands.go:registerCommand("uptime", ...)
use	do_use	POS_SITTING	1	SCMD_USE	registered	pkg/session/commands.go:registerCommand("use", ...)
users	do_users	POS_DEAD	LVL_IMMORT	0	registered	pkg/session/commands.go:registerCommand("users", ...)
value	do_not_here	POS_STANDING	0	0	implemented-unwired	pkg/session/cmd_misc.go:cmdnothere
version	do_gen_ps	POS_DEAD	0	SCMD_VERSION	registered	pkg/session/commands.go:registerCommand("version", ...)
violate	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
visible	do_visible	POS_RESTING	1	0	registered	pkg/session/commands.go:registerCommand("visible", ...)
vnum	do_vnum	POS_DEAD	LVL_IMMORT	0	registered	pkg/session/commands.go:registerCommand("vnum", ...)
vstat	do_vstat	POS_DEAD	LVL_IMMORT	0	registered	pkg/session/commands.go:registerCommand("vstat", ...)
wake	do_wake	POS_SLEEPING	0	0	registered	pkg/session/commands.go:registerCommand("wake", ...)
waltz	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
wave	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
wear	do_wear	POS_RESTING	0	0	registered	pkg/session/commands.go:registerCommand("wear", ...)
weather	do_weather	POS_RESTING	0	0	registered	pkg/session/commands.go:registerCommand("weather", ...)
wedgie	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
wee	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
weep	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
west	do_move	POS_STANDING	0	SCMD_WEST	registered	pkg/session/commands.go:registerCommand("west", ...)
whap	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
where	do_where	POS_RESTING	LVL_IMMORT	0	registered	pkg/session/commands.go:registerCommand("where", ...)
whimper	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
whine	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
whisper	do_spec_comm	POS_RESTING	0	SCMD_WHISPER	registered	pkg/session/commands.go:registerCommand("whisper", ...)
whistle	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
who	do_who	POS_DEAD	0	0	registered	pkg/session/commands.go:registerCommand("who", ...)
whoami	do_gen_ps	POS_DEAD	0	SCMD_WHOAMI	registered	pkg/session/commands.go:registerCommand("whoami", ...)
whod	do_whod	POS_DEAD	LVL_IMMORT	0	registered	pkg/session/commands.go:registerCommand("whod", ...)
whois	do_whois	POS_DEAD	0	0	registered	pkg/session/commands.go:registerCommand("whois", ...)
wield	do_wield	POS_RESTING	0	0	registered	pkg/session/commands.go:registerCommand("wield", ...)
wiggle	do_action	POS_STANDING	0	0	social	pkg/game/socials.txt
will	do_cast	POS_SITTING	1	0	registered	pkg/session/commands.go:registerCommand("will", ...)
wimpy	do_wimpy	POS_DEAD	0	0	registered	pkg/session/commands.go:registerCommand("wimpy", ...)
wink	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
withdraw	do_not_here	POS_STANDING	1	0	specproc	pkg/game/spec_procs4.go
wizhelp	do_commands	POS_SLEEPING	LVL_IMMORT	SCMD_WIZHELP	registered	pkg/session/commands.go:registerCommand("wizhelp", ...)
wizlist	do_gen_ps	POS_DEAD	0	SCMD_WIZLIST	registered	pkg/session/commands.go:registerCommand("wizlist", ...)
wizlock	do_wizlock	POS_DEAD	LVL_IMPL-1	0	registered	pkg/session/commands.go:registerCommand("wizlock", ...)
wiznet	do_wiznet	POS_DEAD	0	0	registered	pkg/session/commands.go:registerCommand("wiznet", ...)
wnewbie	do_newbie	POS_DEAD	LVL_IMMORT	0	registered	pkg/session/commands.go:registerCommand("wnewbie", ...)
worship	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
write	do_write	POS_STANDING	1	0	registered	pkg/session/commands.go:registerCommand("write", ...)
yank	do_yank	POS_STANDING	0	0	registered	pkg/session/commands.go:registerCommand("yank", ...)
yawn	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
yodel	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
yuball	do_action	POS_RESTING	0	0	social	pkg/game/socials.txt
zai	do_kuji_kiri	POS_STANDING	0	SKILL_KK_ZAI	registered	pkg/session/commands.go:registerCommand("zai", ...)
zedit	do_olc	POS_DEAD	LVL_BUILDER	SCMD_OLC_ZEDIT	missing	no implementation found
zhen	do_kuji_kiri	POS_STANDING	0	SKILL_KK_ZHEN	registered	pkg/session/commands.go:registerCommand("zhen", ...)
zlist	do_zlist	POS_DEAD	LVL_BUILDER	0	registered	pkg/session/commands.go:registerCommand("zlist", ...)
zreset	do_zreset	POS_DEAD	LVL_BUILDER	0	registered	pkg/session/commands.go:registerCommand("zreset", ...)
